publisherID,iatiOrganisationID,name,gbSignatory,organisationType,iatiVersion,humData,humanitarianActivities,activities,202HumData,203HumData,traceability,monthly,frequency,timeliness
,,NEAR,NEAR Network,International NGO,,False,0,0,False,False,False,False,,
minbuza_nl,XM-DAC-7,Netherlands - Ministry of Foreign Affairs,Netherlands,Government,2.03,True,638,10485,True,True,False,False,Quarterly,One month
nlrc,NL-KVK-40409352,Netherlands Red Cross,IFRC,International NGO,2.03,True,917,1466,True,False,True,False,Annual,Six months
mfat,NZ-1,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,New Zealand,Government,2.03,True,419,2610,True,True,False,True,Monthly,One month
norad,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,Norway,Government,2.03,True,895,8036,False,True,False,False,Six-Monthly,One month
nrc,NO-BRC-977538319,Norwegian Refugee Council (NRC),Norwegian Refugee Counci,International NGO,2.03,True,143,222,True,False,True,False,Quarterly,Six months
unocha-cbpf,XM-OCHA-CBPF,OCHA Country Based Pooled Funds,UN OCHA,National NGO,2.03,True,14929,14929,True,False,True,True,Monthly,One month
oecd,XM-DAC-47080,Organisation For Economic Co-operation and Development ,OECD,Multilateral,2.03,False,0,3,False,False,False,False,Annual,One year
oxfamus,US-EIN-23-7069110,Oxfam America,OXFAM,International NGO,2.03,True,63,401,True,False,False,False,Less than Annual,More than one year
oau,AU-ACNC-18055208636,Oxfam Australia,OXFAM,International NGO,2.03,True,59,164,True,False,False,False,Less than Annual,More than one year
oxfamgb,GB-CHC-202918,Oxfam GB,OXFAM,International NGO,2.02,False,0,3812,False,False,True,False,Quarterly,Six months
ibis_denmark,DK-CVR-88136411,Oxfam IBIS,OXFAM,International NGO,2.03,True,22,63,True,False,True,False,Quarterly,One month
oxfamindia,IN-MCA-U74999DL2004NPL131340,Oxfam India,OXFAM,National NGO,,False,0,0,False,False,False,False,Less than Annual,More than one year
oxfamintermon,ES-CIF-G-8236803,Oxfam Intermon,OXFAM,International NGO,2.03,True,18,83,True,False,False,False,Less than Annual,More than one year
omdm,BE-BCE_KBO-0416486821,Oxfam Magasins Du Monde (OMDM),OXFAM,National NGO,2.03,False,0,9,False,False,True,False,Annual,One year
onl,NL-KVK-27108436,Oxfam Novib,OXFAM,International NGO,2.03,True,1430,7205,True,True,True,True,Monthly,One month
oxsol,BE-BCE_KBO-0408643875,Oxfam Solidarité-Solidariteit,OXFAM,National NGO,2.03,False,0,14,False,True,True,False,Less than Annual,More than one year
oww,BE-BCE_KBO-0415365777,Oxfam Wereldwinkels,OXFAM,National NGO,2.03,False,0,3,False,False,True,False,Less than Annual,More than one year
climate_centre,NL-KVK-27267681,Red Cross Red Crescent Climate Centre,IFRC,International NGO,2.03,False,0,18,False,False,True,False,Less than Annual,More than one year
ri_kenya,KE-NCB-OP-218-051-2007-0183-4781,Relief International Somalia,Relief International,International NGO,,False,0,0,False,False,False,False,Less than Annual,
ri-uk,GB-CHC-1098106,Relief International UK,Relief International,International NGO,2.03,False,0,9,False,False,True,False,Less than Annual,More than one year
odakorea,KR-GOV-021,Republic of Korea,Republic of Korea,Government,2.02,True,4,1512,True,False,True,False,Quarterly,Six months
redbarnet,DK-CVR-63407216,Save The Children DK,Save The Children,International NGO,2.03,True,17,71,True,False,True,False,Quarterly,Six months
sci,GB-CHC-1076822,Save The Children International,Save The Children,International NGO,2.03,True,577,1154,True,False,True,False,Annual,More than one year
scnl,NL-KVK-41201463,Save The Children Nethelands,Save The Children,International NGO,2.03,True,97,138,True,False,True,False,Quarterly,A quarter
scuk,GB-COH-213890,Save The Children UK,Save The Children,International NGO,2.03,True,677,1486,True,False,True,False,Annual,More than one year
si-mfa,XM-DAC-61-2,Slovenia Ministry Of Foreign Affairs,Slovenia,Government,2.03,True,23,23,True,True,False,False,Less than Annual,More than one year
maec,ES-DIR3-E04585801,Spain - Ministry of Foreign Affairs and Cooperation,Spain,Government,,False,0,0,False,False,False,False,Less than Annual,More than one year
aecid,ES-DIR3-EA0035768,Spanish Agency for International Development Cooperation (AECID),Spain,Government,2.03,True,351,3387,True,False,False,False,Less than Annual,More than one year
,,Steering Committee for Humanitarian Response,SCHR,International NGO,,False,0,0,False,False,False,False,,
aanl,NL-KVK-41217595,Stichting ActionAid Netherlands,ActionAid,International NGO,2.03,False,0,5,False,False,True,False,Annual,One year
sida,SE-0,Sweden - Swedish International Development Cooperation Agency (Sida),Sweden,Government,2.03,True,9201,131719,True,False,False,True,Monthly,One month
sdc_ch,CH-4,Switzerland - Swiss Agency for Development and Cooperation (SDC),Switzerland,Government,2.03,True,7436,41765,False,False,True,False,Six-Monthly,One year
sr,GB-CHC-1143797,Syria Relief ,Syria Relief,Regional NGO,2.03,False,0,1,False,False,False,False,Less than Annual,More than one year
trocaire,IE-CHY-20009601,Trocaire,Trocaire,International NGO,2.03,True,11,17,False,False,True,False,Quarterly,Six months
fcdo,GB-GOV-1,"UK - Foreign, Commonwealth and Development Office",United Kingdom,Government,2.03,True,3024,25102,True,False,False,True,Monthly,One month
ub,BE-BCE_KBO-0407562029,UNICEF Belgium National Commitee,UNICEF,National NGO,2.03,False,0,7,False,False,True,False,Annual,More than one year
unicefnl,NL-KVK-27102631,UNICEF Netherlands National Commitee,UNICEF,National NGO,2.03,True,6,19,False,False,True,False,Annual,One year
cerf,XM-OCHA-CERF,United Nations Central Emergency Response Fund (CERF),UN OCHA,Multilateral,2.03,True,9695,9695,True,True,False,True,Monthly,One month
unicef,XM-DAC-41122,United Nations Children's Fund (UNICEF),UNICEF,Multilateral,2.02,True,6950,17102,True,False,False,True,Monthly,One month
undp,XM-DAC-41114,United Nations Development Programme (UNDP),UNDP,Multilateral,2.03,True,1336,16006,True,False,True,True,Monthly,A quarter
unhcr,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),UNHCR,Multilateral,2.03,True,1085,1085,True,True,True,True,Monthly,One month
unocha,XM-DAC-41127,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),UN OCHA,Multilateral,2.03,True,50,50,True,False,True,True,Monthly,One month
unocha-sdc,XI-IATI-OCHASDC,United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),UN OCHA,Multilateral,2.03,True,3,3,True,False,True,False,Six-Monthly,One year
unfpa,41119,United Nations Population Fund (UNFPA),UNFPA,Multilateral,2.03,True,433,812,False,False,False,False,Annual,One year
unrwa,XM-DAC-41130,United Nations Relief and Works Agency for Palestine Refugees (UNRWA),UNRWA,Multilateral,2.03,True,562,2154,True,False,False,False,Quarterly,Six months
unw,XM-DAC-41146,United Nations Women (UN Women),UN Women,Multilateral,2.02,True,104,1641,True,False,False,True,Monthly,A quarter
wfp,XM-DAC-41140,United Nations World Food Programme (WFP),UN WFP,Multilateral,2.03,True,1045,1279,True,False,False,True,Monthly,One month
unitedstates,US-USAGOV,United States,United States Of America,Government,,False,0,0,False,False,False,False,Less than Annual,
usaid,US-GOV-1,United States Agency for International Development (USAID),United States Of America,Government,2.03,True,13276,54277,True,True,False,True,Monthly,One month
worldbank,44000,"World Bank, The",The World Bank,Multilateral,2.03,True,391,4452,True,False,False,True,Monthly,One month
who,XM-DAC-928,World Health Organization,WHO,Multilateral,2.03,True,4290,26070,True,True,False,True,Monthly,One month
wvi,US-EIN-95-3202116,World Vision International (WVI),World Vision International,International NGO,2.03,True,69,71,True,False,False,False,Quarterly,Six months
wvnld,NL-KVK-41179943,World Vision Netherlands,World Vision International,Foundation,2.03,True,9,71,True,False,True,False,Quarterly,One month
wvsyria,JO-CCD-2826,World Vision Syria,World Vision International,International NGO,,False,0,0,False,False,False,False,Less than Annual,
wvuk,GB-CHC-285908,World Vision UK,World Vision International,International NGO,2.03,True,127,262,True,False,True,False,Quarterly,A quarter
wvz-gec,ZW-PVO-26/79,World Vision Zimbabwe,World Vision International,International NGO,2.03,True,4,4,True,False,True,False,Less than Annual,More than one year
zoa,NL-KVK-41009723,ZOA,ZOA International,International NGO,2.03,True,48,127,True,True,True,True,Monthly,One month
